processes,trials,hits,pi,time
1,100,69,2.760000,0.000031
1,1000,786,3.144000,0.000016
1,10000,7871,3.148400,0.000128
1,100000,78662,3.146480,0.001172
1,1000000,784983,3.139932,0.011946
2,100,80,3.200000,0.000027
2,1000,795,3.180000,0.000146
2,10000,7836,3.134400,0.000142
2,100000,78475,3.139000,0.000657
2,1000000,785039,3.140156,0.006879
4,100,81,3.240000,0.000064
4,1000,802,3.208000,0.000170
4,10000,7917,3.166800,0.000137
4,100000,78510,3.140400,0.000391
4,1000000,785233,3.140932,0.003209
6,100,80,3.200000,0.000084
6,1000,797,3.188000,0.000076
6,10000,7790,3.116000,0.000104
6,100000,78408,3.136320,0.000312
6,1000000,785624,3.142496,0.002168
8,100,83,3.320000,0.000103
8,1000,787,3.148000,0.000065
8,10000,7881,3.152400,0.000255
8,100000,78605,3.144200,0.000438
8,1000000,785745,3.142980,0.001547
10,100,76,3.040000,0.000547
10,1000,788,3.152000,0.000170
10,10000,7895,3.158000,0.000184
10,100000,78645,3.145800,0.000579
10,1000000,785230,3.140920,0.001793
12,100,78,3.120000,0.000088
12,1000,792,3.168000,0.000237
12,10000,7828,3.131200,0.000247
12,100000,78767,3.150680,0.000345
12,1000000,784904,3.139616,0.003222
14,100,77,3.080000,0.000227
14,1000,780,3.120000,0.000398
14,10000,7869,3.147600,0.000543
14,100000,78390,3.135600,0.000509
14,1000000,785506,3.142024,0.002127
