size,processes,time
5000,1,0.169864
5000,2,0.092107
5000,4,0.043617
5000,8,0.044939
5000,10,0.017414
5000,12,0.062122
5000,14,0.058304
7500,1,0.358062
7500,2,0.180288
7500,4,0.113899
7500,8,0.103797
7500,10,0.049552
7500,12,0.050220
7500,14,0.073428
10000,1,0.681489
10000,2,0.428792
10000,4,0.212230
10000,8,0.298951
10000,10,0.152879
10000,12,0.240543
10000,14,0.432043
12500,1,1.313666
12500,2,0.665739
12500,4,0.425197
12500,8,0.423734
12500,10,0.249456
12500,12,0.549112
12500,14,0.568021
15000,1,1.691200
15000,2,0.891526
15000,4,0.525684
15000,8,0.471274
15000,10,0.697333
15000,12,0.260714
15000,14,0.722467
17500,1,2.285101
17500,2,1.184608
17500,4,0.677979
17500,8,0.925362
17500,10,0.632560
17500,12,1.034900
17500,14,0.732344
20000,1,3.301641
20000,2,1.737539
20000,4,1.072171
20000,8,1.167108
20000,10,0.889429
20000,12,1.628697
20000,14,0.876189
