size,processes,time
5000,1,0.277309
5000,2,0.154694
5000,4,0.078872
5000,8,0.074915
5000,10,0.038169
5000,12,0.073167
5000,14,0.060740
7500,1,0.931816
7500,2,0.375898
7500,4,0.196687
7500,8,0.270824
7500,10,0.265197
7500,12,0.126921
7500,14,0.200515
10000,1,2.063546
10000,2,0.700213
10000,4,0.566589
10000,8,0.724266
10000,10,0.533645
10000,12,0.653720
10000,14,0.738234
12500,1,4.273557
12500,2,1.961530
12500,4,1.495017
12500,8,1.557325
12500,10,1.106303
12500,12,1.636003
12500,14,1.363894
15000,1,6.950282
15000,2,4.031263
15000,4,3.549886
15000,8,4.094089
15000,10,3.174109
15000,12,2.044014
15000,14,1.614461
17500,1,8.883662
17500,2,8.647528
17500,4,5.445872
17500,8,6.432114
17500,10,6.016371
17500,12,3.082736
17500,14,3.659589
20000,1,12.438237
20000,2,9.818638
20000,4,6.981737
20000,8,5.988132
20000,10,5.254784
20000,12,5.993377
20000,14,6.068318
